Mot1	Mot2	Mot3	Mot4	Mot5	Mot6	Tsample=3ms
-5350	3359	142	-3718	-3704	1195	
-5350	3359	-15730	-3718	-3704	1195	
-5350	3359	142	-3718	-3704	1195	
-5350	3359	142	-3718	-3704	1195	
-5365	3360	142	-3728	-3714	1195	
-5396	3362	142	-3750	-3737	1195	
-5428	3365	142	-3773	-3759	1195	
-5464	3367	142	-3799	-3785	1195	
-5496	3367	142	-3823	-3808	1025	
-5530	3367	-15730	-4095	-3831	1195	
-5550	3367	142	-3861	-3846	1195	
-5550	3367	142	-3861	-3846	1195	
-5550	3367	142	-3861	-3846	1195	
-5550	3367	142	-3861	-3846	1195	
-5550	3367	142	-3861	-3846	1195	
-5557	3367	142	-3865	-3850	1195	
-5590	-15833	142	-3889	-4095	1195	
-5623	3367	142	-3912	-3897	1195	
-5665	3367	142	-3942	-3926	1195	
-5698	3367	142	-3965	-3950	1195	
-5730	3367	142	-3987	-3974	1195	
-5752	3367	142	-4095	-3990	1195	
-5752	3367	142	-4004	-3990	1195	
-5752	3367	142	-4004	-3990	1195	
-5752	3367	142	-4004	-3990	1195	
-5752	3367	142	-4004	-3990	1195	
-5770	3367	142	-4018	-4003	1195	
-5808	3367	142	-4044	-4032	1195	
-5848	3367	142	-4073	-4060	1195	
-5886	3367	-15730	-4100	-15863	1195	
-5924	3367	142	-4127	-4117	1195	
-5952	3367	142	-4147	-4136	1195	
-5952	3367	142	-4147	-4136	1195	
-5952	3367	1	-4147	-4136	1195	
-5952	3367	142	-4147	-4136	1195	
-5952	3367	142	-4147	-4136	1195	
-5966	3367	142	-4157	-4146	1195	
-5997	3367	142	-4179	-4167	1195	
-6033	3367	142	-4204	-4194	1195	
-6073	-15833	142	-4233	-4222	1195	
-6108	3367	142	-15779	-4248	1195	
-6141	3367	142	-4282	-4272	1195	
-6152	3367	142	-4290	-4281	1195	
-6152	3367	142	-4290	-4281	1195	
-6152	3367	142	-4290	-4281	1195	
-6152	3329	142	-4290	-4351	1195	
-6152	3367	-15871	-4290	-4281	1195	
-6160	3365	139	-4287	-4288	1195	
-6160	3365	139	-15807	-4288	1195	
-6160	3365	139	-4287	-4288	1195	
-6160	3365	139	-4287	-4288	1195	
-6160	3365	139	-4287	-4288	1195	
-6160	3365	139	-4287	-4288	1195	
-6175	3329	139	-4297	-4297	1195	
